이름,키,몸무게
카라,184,97
가마,182,68
하파,175,115
자하,170,68
차가,153,84
자나,187,101
차자,175,62
사사,163,97
마나,189,56
라아,191,42
카자,165,80
바마,140,48
타나,165,91
나아,159,98
자하,142,72
하다,161,46
타타,180,40
마사,176,107
사사,141,46
파하,159,54
사파,150,94
아파,194,53
차차,165,81
나다,179,111
나타,193,87
차나,179,66
하아,154,95
가가,197,82
자라,168,107
카하,146,46
가가,145,114
나차,161,87
파자,155,42
마나,143,93
나타,166,113
하아,172,86
아타,164,50
다하,154,73
다하,175,51
나자,195,118
카마,195,100
바아,148,67
가하,178,56
카라,199,94
자파,178,87
자타,193,52
바하,155,72
라다,154,91
카마,151,82
나가,142,92
라타,168,111
하바,155,40
사파,192,119
아마,171,114
자나,147,62
라차,166,69
가아,175,66
자마,146,90
가차,158,52
바하,143,92
하바,159,82
자자,162,105
가바,199,110
파마,145,68
라마,146,70
나사,170,57
타나,174,98
가카,143,42
차바,178,107
하파,157,90
마마,178,105
가다,148,113
마라,169,78
마사,175,82
파라,175,92
카하,188,69
라가,168,108
바카,189,97
타마,185,80
아나,187,66
자다,175,115
라차,178,77
파자,170,45
나다,176,67
라라,158,68
마자,186,84
타가,148,65
파자,176,42
다하,176,108
다아,156,94
차가,156,60
바아,197,83
파가,148,46
라라,164,112
차다,175,82
자나,182,116
사차,178,99
다나,160,88
자가,165,82
마파,173,66
마파,153,76
라자,168,109
마아,175,66
나가,185,43
카다,158,111
나마,195,101
마카,169,112
차사,169,75
타타,150,61
파라,144,96
바파,170,78
타나,160,103
아타,145,119
타다,172,49
가타,174,62
하마,171,96
차마,169,113
카자,196,79
카가,171,59
다카,161,59
타바,160,100
자타,145,67
아차,195,97
라하,152,92
다하,170,41
아가,163,86
가사,186,55
다라,141,105
마가,144,119
자카,167,95
나카,190,88
마라,160,93
다타,172,68
아사,175,98
카사,164,76
바가,173,62
바바,149,43
라카,159,58
나라,179,51
바아,183,51
사타,183,59
하가,165,112
카파,179,119
바마,172,81
아다,178,111
사아,163,70
나다,188,102
자마,140,63
파차,173,108
아타,190,85
마카,189,53
하다,155,96
파자,166,110
다자,150,47
나바,174,42
나타,152,49
타나,180,72
타아,146,52
타라,190,77
차가,153,42
카차,190,103
타나,179,79
타카,158,62
파자,156,82
다나,172,78
아라,186,60
마가,160,115
타타,185,103
라하,160,57
마타,199,88
타자,152,44
바아,149,92
사사,166,100
다카,155,61
사다,180,82
하사,153,70
라하,181,76
카파,150,62
다자,192,82
라타,187,79
라가,187,107
가라,155,111
하나,172,62
라나,161,80
카라,175,46
차카,149,114
마아,189,76
타카,187,116
카가,147,45
자자,188,63
다마,154,92
가하,166,89
다바,174,112
가사,154,93
차차,178,85
라사,155,49
바사,185,110
카차,187,96
라아,194,104
바다,190,49
하차,162,116
자가,199,90
차타,145,106
파파,190,47
가가,165,99
아라,144,64
마카,197,99
타다,156,52
파하,195,85
타아,151,52
다파,147,72
라나,161,54
다다,155,79
하하,160,47
바타,180,96
아나,142,97
파자,195,66
라하,193,105
차파,187,82
타하,158,61
카마,155,84
나자,148,51
가아,143,69
나타,185,78
다하,188,119
마타,175,90
마가,161,106
마나,157,45
파파,158,82
나나,184,117
가하,196,104
나마,179,57
하아,145,61
타하,175,117
타카,155,64
라다,189,46
가나,189,76
카가,166,85
나하,158,116
나마,169,102
나차,154,73
자하,197,86
다가,192,99
하라,178,50
바파,158,102
아차,145,71
바라,169,80
타나,193,96
카자,161,56
가차,152,104
바마,149,51
나나,190,86
가타,187,107
가사,161,71
다자,199,96
바사,153,64
자자,189,106
차나,160,64
라타,195,93
타타,192,104
사다,187,90
파차,142,94
차카,164,111
바하,154,104
하카,174,119
다나,175,87
바타,158,78
타타,196,84
바자,141,41
타마,167,67
차아,172,111
파사,180,91
차마,183,74
자사,178,44
타라,144,107
바아,158,70
자라,143,119
나바,174,57
아다,179,79
사카,168,77
다바,178,48
가파,189,84
가하,145,91
하자,173,63
바라,148,84
다바,146,103
사카,170,86
파타,157,45
다바,178,105
바사,150,88
사라,187,64
카차,153,103
자라,153,40
아파,171,96
타사,153,69
타라,168,103
타타,173,64
바마,176,80
자아,142,95
가바,189,76
자라,188,57
차자,163,78
바자,161,114
아카,146,89
하타,171,92
다다,173,54
바가,199,47
마바,170,92
가하,197,109
차다,193,94
가가,188,102
자바,170,43
바자,144,48
나마,174,83
바마,148,53
다다,146,107
타다,160,91
다나,141,40
하라,178,47
아하,164,61
다가,142,57
자가,157,77
사바,189,62
카아,166,101
파사,187,113
아다,197,119
바아,164,104
바아,155,48
카자,155,83
다마,171,56
다하,141,100
사다,170,52
자가,172,97
타아,140,56
라다,174,78
가하,141,116
바아,169,91
다다,149,92
자바,158,115
하바,154,94
마하,171,103
아카,157,42
카하,145,88
차바,173,101
하카,166,66
자카,144,95
차나,174,106
하카,194,47
차타,152,102
파파,166,101
차사,192,50
나타,160,67
마타,197,96
차라,151,67
아나,195,47
타파,192,101
나라,141,98
가나,166,99
카마,195,79
자가,151,97
라타,166,96
카사,152,104
다라,165,82
사가,144,60
다마,163,68
아하,162,100
나바,186,46
라차,158,72
차차,153,55
카자,178,42
라하,179,49
차나,149,90
나라,185,100
라마,164,111
아카,176,47
파아,170,69
타하,164,60
라라,166,65
아바,143,100
하파,157,72
사바,153,100
나아,172,106
라라,160,92
사나,172,112
라타,140,118
카나,168,100
바파,190,60
카사,161,102
자타,172,63
마바,152,41
파다,188,78
아자,148,64
가하,184,93
마라,184,66
파자,170,95
타다,151,71
타가,145,58
차차,190,44
나자,180,46
바마,192,84
자마,192,73
자자,148,117
가아,140,69
바다,167,66
자타,165,83
타파,192,93
가마,174,108
마타,196,102
자바,175,89
자사,194,56
나자,178,112
마사,156,85
사라,140,65
바사,196,51
마나,142,108
파나,184,104
아바,166,84
다마,172,41
차바,198,47
카자,164,64
다바,195,88
파아,186,111
마바,144,44
바카,153,113
아자,187,59
하파,192,59
자가,164,92
타자,199,112
파바,184,59
자다,183,107
차마,193,86
자파,182,105
나파,180,57
나카,163,58
사타,152,67
카다,170,67
다라,183,105
카라,159,55
사가,193,103
카타,175,98
나타,170,48
다카,153,108
하사,154,79
나파,147,118
파하,167,107
다차,151,76
카마,152,48
다라,184,81
바하,168,58
바라,167,47
사자,198,68
바카,155,56
라나,191,82
바하,169,87
차차,188,99
아차,187,53
다마,199,57
가바,140,46
타나,197,70
자바,151,72
